cl_url,cl_photo_path,user_id,cl_category,cl_personal_color,cl_color,cl_style
https://www.musinsa.com/app/goods/3465971?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230816/3465971/3465971_16922487218271_500.jpg,1,10,autumn,gray,Feminine
https://www.musinsa.com/app/goods/3005822?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230104/3005822/3005822_17049556519510_500.jpg,1,10,summer,gray,Street
https://www.musinsa.com/app/goods/2114743?loc=goods_rank,https://image.msscdn.net/images/goods_img/20210907/2114743/2114743_1_500.jpg,1,10,summer,brown,Casual
https://www.musinsa.com/app/goods/3798442?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240116/3798442/3798442_17098887185147_500.jpg,1,10,summer,white,Street
https://www.musinsa.com/app/goods/2500345?loc=goods_rank,https://image.msscdn.net/images/goods_img/20220419/2500345/2500345_2_500.jpg,1,10,winter,white,Casual
https://www.musinsa.com/app/goods/2500344?loc=goods_rank,https://image.msscdn.net/images/goods_img/20220419/2500344/2500344_2_500.jpg,1,10,winter,white,Feminine
https://www.musinsa.com/app/goods/4021610?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240403/4021610/4021610_17122012843175_500.jpg,1,10,summer,gray,Street
https://www.musinsa.com/app/goods/1608272?loc=goods_rank,https://image.msscdn.net/images/goods_img/20200917/1608272/1608272_1_500.jpg,1,10,autumn,green,Casual
https://www.musinsa.com/app/goods/3908701?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240228/3908701/3908701_17098617030375_500.jpg,1,10,winter,white,Casual
https://www.musinsa.com/app/goods/3441438?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230802/3441438/3441438_17109105881310_500.jpg,1,10,summer,white,Feminine
https://www.musinsa.com/app/goods/3826723?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240126/3826723/3826723_17062603596844_500.jpg,1,10,spring,gray,Street
https://www.musinsa.com/app/goods/3856710?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240207/3856710/3856710_17073055502396_500.jpg,1,10,winter,black,Street
https://www.musinsa.com/app/goods/3546037?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230908/3546037/3546037_17090134816837_500.jpg,1,10,winter,black,Casual
https://www.musinsa.com/app/goods/3546038?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230908/3546038/3546038_17086708831519_500.jpg,1,10,winter,white,Street
https://www.musinsa.com/app/goods/3441396?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230802/3441396/3441396_17109851312458_500.jpg,1,10,summer,white,Casual
https://www.musinsa.com/app/goods/3105402?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230223/3105402/3105402_16771498525065_500.jpg,1,10,winter,black,Feminine
https://www.musinsa.com/app/goods/2149254?loc=goods_rank,https://image.msscdn.net/images/goods_img/20210928/2149254/2149254_17138588137724_500.jpg,1,10,winter,white,Street
https://www.musinsa.com/app/goods/3518892?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230831/3518892/3518892_16935374956888_500.jpg,1,10,autumn,brown,Casual
https://www.musinsa.com/app/goods/3518786?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230831/3518786/3518786_16940483198675_500.jpg,1,10,winter,white,Feminine
https://www.musinsa.com/app/goods/4030661?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240405/4030661/4030661_17122985474877_500.jpg,1,10,spring,brown,Street
https://www.musinsa.com/app/goods/3825992?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240126/3825992/3825992_17073554825166_500.jpg,1,10,autumn,gray,Feminine
https://www.musinsa.com/app/goods/3836924?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240131/3836924/3836924_17083233399018_500.png,1,10,autumn,black,Feminine
https://www.musinsa.com/app/goods/3813726?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240122/3813726/3813726_17125573089021_500.jpg,1,10,autumn,navy,Street
https://www.musinsa.com/app/goods/3831448?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240130/3831448/3831448_17072897061319_500.jpg,1,10,winter,brown,Street
https://www.musinsa.com/app/goods/3813681?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240122/3813681/3813681_17072284329752_500.jpg,1,10,autumn,black,Casual
https://www.musinsa.com/app/goods/3813682?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240122/3813682/3813682_17072152033010_500.jpg,1,10,spring,black,Feminine
https://www.musinsa.com/app/goods/3481033?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230821/3481033/3481033_16926016839093_500.jpg,1,10,winter,white,Street
https://www.musinsa.com/app/goods/3803043?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240117/3803043/3803043_17126292337950_500.jpg,1,10,summer,white,Street
https://www.musinsa.com/app/goods/3523517?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230901/3523517/3523517_16941414997130_500.jpg,1,10,summer,white,Casual
https://www.musinsa.com/app/goods/3467812?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230816/3467812/3467812_16923246695772_500.jpg,1,10,winter,white,Street
https://www.musinsa.com/app/goods/3730382?loc=goods_rank,https://image.msscdn.net/images/goods_img/20231123/3730382/3730382_17122206865473_500.jpg,1,10,summer,brown,Street
https://www.musinsa.com/app/goods/3859217?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240208/3859217/3859217_17121971342200_500.jpg,1,10,winter,white,Street
https://www.musinsa.com/app/goods/3794314?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240115/3794314/3794314_17052828557922_500.jpg,1,10,summer,gray,Street
https://www.musinsa.com/app/goods/1351826?loc=goods_rank,https://image.msscdn.net/images/goods_img/20200315/1351826/1351826_1_500.jpg,1,10,autumn,black,Casual
https://www.musinsa.com/app/goods/3025667?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230116/3025667/3025667_16738371874614_500.jpg,1,10,winter,white,Feminine
https://www.musinsa.com/app/goods/3603940?loc=goods_rank,https://image.msscdn.net/images/goods_img/20231005/3603940/3603940_16964705474504_500.jpg,1,10,winter,black,Street
