cl_url,cl_photo_path,user_id,cl_category,cl_personal_color,cl_color
https://www.musinsa.com/app/goods/1926048?loc=goods_rank,https://image.msscdn.net/images/goods_img/20210428/1926048/1926048_1_500.jpg,1,20,summer,white
https://www.musinsa.com/app/goods/3228764?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230412/3228764/3228764_17141243417273_500.jpg,1,20,winter,gray
https://www.musinsa.com/app/goods/2574822?loc=goods_rank,https://image.msscdn.net/images/goods_img/20220523/2574822/2574822_17090158499686_500.jpg,1,20,winter,gray
https://www.musinsa.com/app/goods/1926034?loc=goods_rank,https://image.msscdn.net/images/goods_img/20210428/1926034/1926034_1_500.jpg,1,20,spring,black
https://www.musinsa.com/app/goods/2441851?loc=goods_rank,https://image.msscdn.net/images/goods_img/20220324/2441851/2441851_17138609819460_500.jpg,1,20,spring,gray
https://www.musinsa.com/app/goods/4057927?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240416/4057927/4057927_17144675251113_500.jpg,1,20,summer,gray
https://www.musinsa.com/app/goods/2532425?loc=goods_rank,https://image.msscdn.net/images/goods_img/20220429/2532425/2532425_1_500.jpg,1,20,spring,black
https://www.musinsa.com/app/goods/1436218?loc=goods_rank,https://image.msscdn.net/images/goods_img/20200508/1436218/1436218_17107521086097_500.jpg,1,20,winter,white
https://www.musinsa.com/app/goods/3328615?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230526/3328615/3328615_16871344660265_500.jpg,1,20,winter,white
https://www.musinsa.com/app/goods/3231055?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230413/3231055/3231055_17108290911916_500.jpg,1,20,winter,white
https://www.musinsa.com/app/goods/3230964?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230413/3230964/3230964_17108288730777_500.jpg,1,20,autumn,black
https://www.musinsa.com/app/goods/3938035?loc=goods_rank,https://image.msscdn.net/images/goods_img/20240311/3938035/3938035_17116735201338_500.jpg,1,20,summer,white
https://www.musinsa.com/app/goods/3513309?loc=goods_rank,https://image.msscdn.net/images/goods_img/20230830/3513309/3513309_16934722502141_500.jpg,1,20,spring,gray
